Observation #: 4582
----------------------------------------------------------------
  Time(YYYYMMDD)  Depth(m) Value(celsius)   Std(%)
         20160101       0.1            0.3       10
         20160101       0.5            0.3       10
         20160101         1            0.3       10
         20160101        10            1.3       10
         20160101        11            1.4       10
         20160101        12            1.6       10
         20160101      12.4            1.8       10
         20160101         2            0.3       10
         20160101         3            0.3       10
         20160101         4            0.4       10
         20160101         5            0.5       10
         20160101         6            0.6       10
         20160101         7            0.7       10
         20160101         8            0.9       10
         20160101         9            1.1       10
         20160102       0.1            0.3       10
         20160102       0.5            0.4       10
         20160102         1            0.4       10
         20160102        10            1.3       10
         20160102        11            1.5       10
         20160102        12            1.8       10
         20160102      12.4            1.9       10
         20160102         2            0.4       10
         20160102         3            0.4       10
         20160102         4            0.4       10
         20160102         5            0.5       10
         20160102         6            0.7       10
         20160102         7            0.8       10
         20160102         8              1       10
         20160102         9            1.2       10
         20160103       0.1            0.3       10
         20160103       0.5            0.4       10
         20160103         1            0.4       10
         20160103        10            1.3       10
         20160103        11            1.4       10
         20160103        12            1.7       10
         20160103      12.4            1.9       10
         20160103         2            0.4       10
         20160103         3            0.4       10
         20160103         4            0.4       10
         20160103         5            0.4       10
         20160103         6            0.5       10
         20160103         7            0.7       10
         20160103         8              1       10
         20160103         9            1.1       10
         20160104       0.1            0.1       10
         20160104       0.5            0.2       10
         20160104         1            0.2       10
         20160104        10            1.3       10
         20160104        11            1.4       10
         20160104        12            1.7       10
         20160104      12.4            1.9       10
         20160104         2            0.3       10
         20160104         3            0.4       10
         20160104         4            0.4       10
         20160104         5            0.4       10
         20160104         6            0.5       10
         20160104         7            0.8       10
         20160104         8            1.2       10
         20160104         9            1.2       10
         20160105       0.1            0.1       10
         20160105       0.5            0.2       10
         20160105         1            0.3       10
         20160105        10            1.3       10
         20160105        11            1.4       10
         20160105        12            1.8       10
         20160105      12.3            1.9       10
         20160105         2            0.4       10
         20160105         3            0.4       10
         20160105         4            0.4       10
         20160105         5            0.4       10
         20160105         6            0.5       10
         20160105         7            0.9       10
         20160105         8            1.2       10
         20160105         9            1.2       10
         20160106       0.1            0.1       10
         20160106       0.5            0.2       10
         20160106         1            0.3       10
         20160106        10            1.3       10
         20160106        11            1.5       10
         20160106        12            1.7       10
         20160106      12.3            1.8       10
         20160106         2            0.4       10
         20160106         3            0.4       10
         20160106         4            0.4       10
         20160106         5            0.4       10
         20160106         6            0.5       10
         20160106         7              1       10
         20160106         8            1.2       10
         20160106         9            1.2       10
         20160107       0.1            0.3       10
         20160107       0.5            0.3       10
         20160107         1            0.3       10
         20160107        10            1.2       10
         20160107        11            1.4       10
         20160107        12            1.6       10
         20160107      12.3            1.7       10
         20160107         2            0.3       10
         20160107         3            0.3       10
         20160107         4            0.4       10
         20160107         5            0.4       10
         20160107         6            0.5       10
         20160107         7            1.1       10
         20160107         8            1.3       10
         20160107         9            1.2       10
         20160108       0.1              0       10
         20160108       0.5            0.1       10
         20160108         1            0.2       10
         20160108        10            1.2       10
         20160108        11            1.4       10
         20160108        12            1.5       10
         20160108         2            0.3       10
         20160108         3            0.3       10
         20160108         4            0.4       10
         20160108         5            0.4       10
         20160108         6            0.5       10
         20160108      6.25            0.8       10
         20160108       6.5            1.1       10
         20160108         7            1.2       10
         20160108         7            1.3       10
         20160108         8            1.3       10
         20160108         9            1.3       10
         20160109       0.1            0.1       10
         20160109       0.5            0.2       10
         20160109         1            0.2       10
         20160109        10            1.3       10
         20160109        11            1.5       10
         20160109        12            1.5       10
         20160109         2            0.3       10
         20160109         3            0.3       10
         20160109         4            0.3       10
         20160109         5            0.4       10
         20160109         6            0.5       10
         20160109         7            1.1       10
         20160109         8            1.2       10
         20160109         9            1.2       10
         20160110       0.1            0.2       10
         20160110       0.5            0.2       10
         20160110         1            0.2       10
         20160110        10            1.3       10
         20160110        11            1.5       10
         20160110        12            1.5       10
         20160110         2            0.3       10
         20160110         3            0.3       10
         20160110         4            0.3       10
         20160110         5            0.4       10
         20160110         6            0.6       10
         20160110         7            1.2       10
         20160110         8            1.2       10
         20160110         9            1.2       10
         20160111       0.1            0.2       10
         20160111       0.5            0.2       10
         20160111         1            0.2       10
         20160111        10            1.3       10
         20160111        11            1.5       10
         20160111        12            1.5       10
         20160111         2            0.3       10
         20160111         3            0.3       10
         20160111         4            0.3       10
         20160111         5            0.4       10
         20160111         6            0.5       10
         20160111         7            1.2       10
         20160111         8            1.2       10
         20160111         9            1.2       10
         20160112       0.1              0       10
         20160112       0.5            0.1       10
         20160112         1            0.2       10
         20160112        10            1.4       10
         20160112        11            1.4       10
         20160112        12            1.8       10
         20160112         2            0.3       10
         20160112         3            0.3       10
         20160112         4            0.4       10
         20160112         5            0.7       10
         20160112         6            1.1       10
         20160112         7            1.3       10
         20160112         8            1.3       10
         20160112         9            1.3       10
         20160113       0.1              0       10
         20160113       0.5            0.1       10
         20160113         1            0.2       10
         20160113        10            1.4       10
         20160113        11            1.5       10
         20160113        12            1.6       10
         20160113         2            0.3       10
         20160113         3            0.3       10
         20160113         4            0.4       10
         20160113         5            0.5       10
         20160113         6            0.6       10
         20160113         7            1.2       10
         20160113         8            1.3       10
         20160113         9            1.3       10
         20160114       0.1            0.2       10
         20160114       0.5            0.2       10
         20160114         1            0.2       10
         20160114        10            1.4       10
         20160114        11            1.5       10
         20160114      11.5            1.6       10
         20160114         2            0.3       10
         20160114         3            0.3       10
         20160114         4            0.3       10
         20160114         5            0.4       10
         20160114         6            0.5       10
         20160114         7            1.2       10
         20160114         8            1.3       10
         20160114         9            1.3       10
         20160115       0.1              0       10
         20160115       0.5              0       10
         20160115         1            0.2       10
         20160115        10            1.4       10
         20160115        11            1.5       10
         20160115      11.7            1.6       10
         20160115         2            0.3       10
         20160115         3            0.3       10
         20160115         4            0.3       10
         20160115         5            0.4       10
         20160115         6            0.6       10
         20160115       6.5            1.1       10
         20160115         7            1.2       10
         20160115         7            1.3       10
         20160115       7.5            1.4       10
         20160115         8            1.3       10
         20160115         9            1.4       10
         20160116       0.1            0.1       10
         20160116       0.5            0.1       10
         20160116         1            0.2       10
         20160116        10            1.5       10
         20160116        11            1.6       10
         20160116         2            0.3       10
         20160116         3            0.3       10
         20160116         4            0.3       10
         20160116         5            0.4       10
         20160116         6            0.5       10
         20160116         7            1.3       10
         20160116         8            1.4       10
         20160116         9            1.4       10
         20160117       0.1              0       10
         20160117       0.5              0       10
         20160117         1            0.2       10
         20160117        10            1.5       10
         20160117        11            1.6       10
         20160117      11.8            1.7       10
         20160117         2            0.3       10
         20160117         3            0.3       10
         20160117         4            0.4       10
         20160117         5            0.4       10
         20160117         6            0.5       10
         20160117         7            1.4       10
         20160117         8            1.4       10
         20160117         9            1.5       10
         20160118       0.1            0.1       10
         20160118       0.5            0.1       10
         20160118         1            0.2       10
         20160118        10            1.5       10
         20160118        11            1.6       10
         20160118      11.8            1.8       10
         20160118         2            0.3       10
         20160118         3            0.3       10
         20160118         4            0.3       10
         20160118         5            0.5       10
         20160118         6            0.5       10
         20160118         7            1.5       10
         20160118         8            1.5       10
         20160118         9            1.5       10
         20160119       0.1            0.1       10
         20160119       0.5            0.1       10
         20160119         1            0.2       10
         20160119        10            1.5       10
         20160119        11            1.6       10
         20160119      11.8            1.7       10
         20160119         2            0.3       10
         20160119         3            0.3       10
         20160119         4            0.4       10
         20160119         5            0.5       10
         20160119       5.5            0.6       10
         20160119         6            0.8       10
         20160119       6.5              1       10
         20160119         7            1.4       10
         20160119         8            1.5       10
         20160119         9            1.5       10
         20160120       0.1            0.2       10
         20160120       0.5            0.2       10
         20160120         1            0.3       10
         20160120        10            1.5       10
         20160120        11            1.6       10
         20160120      11.9            1.8       10
         20160120         2            0.4       10
         20160120         3            0.4       10
         20160120         4            0.4       10
         20160120         5            0.5       10
         20160120         6            0.7       10
         20160120         7            1.3       10
         20160120         8            1.5       10
         20160120         9            1.5       10
         20160122       0.1              0       10
         20160122       0.5            0.1       10
         20160122         1            0.2       10
         20160122        10            1.6       10
         20160122        11            1.7       10
         20160122      11.8            1.9       10
         20160122         2            0.3       10
         20160122         3            0.4       10
         20160122         4            0.4       10
         20160122         5            0.5       10
         20160122         6            0.6       10
         20160122         7            1.3       10
         20160122         8            1.5       10
         20160122         9            1.6       10
         20160123       0.1            0.1       10
         20160123       0.5            0.1       10
         20160123         1            0.3       10
         20160123        10            1.6       10
         20160123        11            1.8       10
         20160123      11.8            1.9       10
         20160123         2            0.4       10
         20160123         3            0.4       10
         20160123         4            0.4       10
         20160123         5            0.5       10
         20160123         6            0.6       10
         20160123         7            1.3       10
         20160123         8            1.6       10
         20160123         9            1.6       10
         20160127       0.1            0.2       10
         20160127       0.5            0.2       10
         20160127         1            0.4       10
         20160127        10            1.6       10
         20160127        11            1.7       10
         20160127      11.8            1.7       10
         20160127         2            0.4       10
         20160127         3            0.5       10
         20160127         4            0.6       10
         20160127         5            0.6       10
         20160127         6            0.8       10
         20160127         7            1.5       10
         20160127         8            1.6       10
         20160127         9            1.6       10
         20160128       0.1            0.1       10
         20160128       0.5            0.1       10
         20160128         1            0.3       10
         20160128        10            1.6       10
         20160128        11            1.6       10
         20160128      11.8            1.7       10
         20160128         2            0.4       10
         20160128         3            0.5       10
         20160128         4            0.5       10
         20160128         5            0.6       10
         20160128         6            0.8       10
         20160128         7            1.5       10
         20160128         8            1.7       10
         20160128         9            0.6       10
         20160129       0.1            0.1       10
         20160129       0.5            0.2       10
         20160129         1            0.4       10
         20160129        10            1.6       10
         20160129        11            1.6       10
         20160129      11.8            1.6       10
         20160129         2            0.4       10
         20160129         3            0.5       10
         20160129         4            0.6       10
         20160129         5            0.6       10
         20160129         6            0.7       10
         20160129         7            1.3       10
         20160129         8            1.6       10
         20160129         9            1.6       10
         20160131       0.1            0.2       10
         20160131       0.5            0.3       10
         20160131         1            0.5       10
         20160131        10            1.6       10
         20160131        11            1.7       10
         20160131      11.8            1.7       10
         20160131         2            0.5       10
         20160131         3            0.5       10
         20160131         4            0.6       10
         20160131         5            0.6       10
         20160131         6            0.8       10
         20160131         7            1.3       10
         20160131         8            1.6       10
         20160131         9            1.5       10
         20160202       0.1            0.3       10
         20160202       0.5            0.3       10
         20160202         1            0.5       10
         20160202        10            1.6       10
         20160202        11            1.6       10
         20160202      11.7            1.7       10
         20160202         2            0.6       10
         20160202         3            0.6       10
         20160202         4            0.6       10
         20160202         5            0.6       10
         20160202         6            0.9       10
         20160202       6.1            1.1       10
         20160202       6.3            1.3       10
         20160202       6.5            1.6       10
         20160202         7            1.6       10
         20160202         8            1.6       10
         20160202         9            1.6       10
         20160204       0.1            0.1       10
         20160204       0.5            0.3       10
         20160204         1            0.7       10
         20160204        10            1.7       10
         20160204        11            1.7       10
         20160204      11.7            1.7       10
         20160204         2            0.7       10
         20160204         3            0.7       10
         20160204         4            0.7       10
         20160204         5            0.7       10
         20160204         6            0.8       10
         20160204         7            1.3       10
         20160204         8            1.5       10
         20160204         9            1.6       10
         20160206       0.1            0.2       10
         20160206       0.5            0.2       10
         20160206         1            0.7       10
         20160206        10            1.6       10
         20160206        11            1.7       10
         20160206      11.7            1.8       10
         20160206         2            0.7       10
         20160206         3            0.7       10
         20160206         4            0.7       10
         20160206         5            0.8       10
         20160206         6              1       10
         20160206         7            1.7       10
         20160206         8            1.6       10
         20160206         9            1.5       10
         20160207       0.1            0.1       10
         20160207       0.5            0.3       10
         20160207         1            0.6       10
         20160207        10            1.6       10
         20160207        11            1.7       10
         20160207      11.7            1.7       10
         20160207         2            0.7       10
         20160207         3            0.8       10
         20160207         4            0.7       10
         20160207         5            0.8       10
         20160207         6            0.9       10
         20160207         7            1.5       10
         20160207         8            1.6       10
         20160207         9            1.5       10
         20160208       0.1            0.2       10
         20160208       0.5            0.3       10
         20160208         1            0.7       10
         20160208        10            1.7       10
         20160208        11            1.7       10
         20160208      11.7            1.7       10
         20160208         2            0.8       10
         20160208         3            0.8       10
         20160208         4            0.7       10
         20160208         5            0.8       10
         20160208         6            0.9       10
         20160208         7            1.6       10
         20160208         8            1.6       10
         20160208         9            1.5       10
         20160209       0.1            0.4       10
         20160209       0.5            0.4       10
         20160209         1            0.7       10
         20160209        10            1.6       10
         20160209        11            1.6       10
         20160209      11.7            1.7       10
         20160209         2            0.8       10
         20160209         3            0.8       10
         20160209         4            0.7       10
         20160209         5            0.8       10
         20160209         6            0.9       10
         20160209         7            1.6       10
         20160209         8            1.6       10
         20160209         9            1.6       10
         20160210       0.1            0.4       10
         20160210       0.5            0.5       10
         20160210         1            0.8       10
         20160210        10            1.6       10
         20160210        11            1.7       10
         20160210      11.7            1.7       10
         20160210         2            0.8       10
         20160210         3            0.9       10
         20160210         4            0.8       10
         20160210         5            0.8       10
         20160210         6              1       10
         20160210         7            1.4       10
         20160210         8            1.6       10
         20160210         9            1.5       10
         20160211       0.1            0.2       10
         20160211       0.5            0.4       10
         20160211         1            0.8       10
         20160211        10            1.6       10
         20160211        11            1.7       10
         20160211      11.7            1.7       10
         20160211         2            0.9       10
         20160211         3            0.9       10
         20160211         4            0.8       10
         20160211         5            0.9       10
         20160211         6            1.2       10
         20160211         7            1.7       10
         20160211         8            1.6       10
         20160211         9            1.6       10
         20160212       0.1            0.3       10
         20160212       0.5            0.5       10
         20160212         1            0.8       10
         20160212        10            1.6       10
         20160212        11            1.7       10
         20160212      11.7            1.7       10
         20160212         2            0.9       10
         20160212         3            0.9       10
         20160212         4            0.8       10
         20160212         5              1       10
         20160212         6            1.1       10
         20160212         6            1.1       10
         20160212       6.5            1.2       10
         20160212         7            1.3       10
         20160212         7            1.4       10
         20160212       7.5           1.75       10
         20160212         8            1.6       10
         20160212         9            1.5       10
         20160213       0.1            0.2       10
         20160213       0.5            0.3       10
         20160213         1            0.7       10
         20160213        10            1.5       10
         20160213        11            1.6       10
         20160213      11.5            1.7       10
         20160213         2            0.9       10
         20160213         3            0.9       10
         20160213         4            0.8       10
         20160213         5              1       10
         20160213         6            1.1       10
         20160213       6.5            1.2       10
         20160213         7            1.6       10
         20160213       7.5            1.8       10
         20160213         8            1.8       10
         20160213       8.5            1.7       10
         20160213         9            1.5       10
         20160214       0.1            0.2       10
         20160214       0.5            0.5       10
         20160214         1            0.8       10
         20160214        10            1.6       10
         20160214        11            1.7       10
         20160214      11.5            1.8       10
         20160214         2            0.9       10
         20160214         3            0.9       10
         20160214         4              1       10
         20160214         5              1       10
         20160214         6            1.1       10
         20160214       6.5            1.3       10
         20160214         7            1.6       10
         20160214       7.5            1.8       10
         20160214         8            1.8       10
         20160214       8.5            1.6       10
         20160214         9            1.6       10
         20160215       0.1            0.2       10
         20160215       0.5            0.4       10
         20160215         1            0.9       10
         20160215        10            1.6       10
         20160215        11            1.8       10
         20160215      11.5            1.8       10
         20160215        12            1.9       10
         20160215         2            0.9       10
         20160215         3            0.9       10
         20160215         4              1       10
         20160215         5              1       10
         20160215         6            1.1       10
         20160215         7            1.6       10
         20160215         8            1.9       10
         20160215         9            1.7       10
         20160216       0.1            0.1       10
         20160216       0.5            0.2       10
         20160216         1            0.9       10
         20160216        10            1.7       10
         20160216        11            1.8       10
         20160216      11.5            1.9       10
         20160216         2              1       10
         20160216         3              1       10
         20160216         4            1.1       10
         20160216         5              1       10
         20160216         6            1.2       10
         20160216       6.5            1.3       10
         20160216         7            1.7       10
         20160216       7.5            1.9       10
         20160216         8            1.8       10
         20160216       8.5            1.8       10
         20160216         9            1.8       10
         20160217       0.1            0.2       10
         20160217       0.5            0.6       10
         20160217         1            1.1       10
         20160217        10            1.6       10
         20160217      10.5            1.7       10
         20160217        11            1.8       10
         20160217      11.5            1.8       10
         20160217         2              1       10
         20160217         3              1       10
         20160217         4            1.1       10
         20160217         5            1.1       10
         20160217         6            1.1       10
         20160217       6.5            1.3       10
         20160217         7            1.6       10
         20160217       7.5            1.8       10
         20160217         8            1.8       10
         20160217       8.5            1.9       10
         20160217         9            1.7       10
         20160217       9.5            1.7       10
         20160218       0.1            0.3       10
         20160218       0.5            0.8       10
         20160218         1            1.2       10
         20160218        10            1.7       10
         20160218      10.5            1.8       10
         20160218        11            1.8       10
         20160218      11.5            1.8       10
         20160218         2            1.2       10
         20160218         3            1.2       10
         20160218         4            1.1       10
         20160218         5            1.2       10
         20160218         6            1.4       10
         20160218       6.5            1.4       10
         20160218         7            1.5       10
         20160218       7.5            1.8       10
         20160218         8            1.8       10
         20160218       8.5            1.8       10
         20160218         9            1.9       10
         20160218       9.5            1.8       10
         20160219       0.1            0.3       10
         20160219       0.5            0.5       10
         20160219         1            1.1       10
         20160219        10            1.8       10
         20160219      10.5            1.8       10
         20160219        11            1.8       10
         20160219      11.5            1.9       10
         20160219         2            1.2       10
         20160219         3            1.2       10
         20160219         4            1.1       10
         20160219         5            1.2       10
         20160219         6            1.2       10
         20160219       6.5            1.3       10
         20160219         7            1.5       10
         20160219       7.5            1.7       10
         20160219         8            1.8       10
         20160219       8.5            1.8       10
         20160219         9            1.9       10
         20160219       9.5            1.9       10
         20160220       0.1            0.5       10
         20160220       0.5            0.6       10
         20160220         1            1.2       10
         20160220        10            1.8       10
         20160220      10.5            1.9       10
         20160220        11            1.9       10
         20160220      11.5            1.9       10
         20160220         2            1.2       10
         20160220         3            1.2       10
         20160220         4            1.2       10
         20160220         5            1.2       10
         20160220         6            1.3       10
         20160220       6.5            1.3       10
         20160220         7            1.7       10
         20160220       7.5            1.8       10
         20160220         8            1.8       10
         20160220       8.5            1.9       10
         20160220         9              2       10
         20160220       9.5            1.8       10
         20160221       0.1            0.3       10
         20160221       0.5            0.5       10
         20160221         1            1.2       10
         20160221        10            1.9       10
         20160221      10.5            1.9       10
         20160221        11            1.9       10
         20160221      11.5            1.9       10
         20160221         2            1.3       10
         20160221         3            1.3       10
         20160221         4            1.2       10
         20160221         5            1.2       10
         20160221         6            1.1       10
         20160221       6.5            1.2       10
         20160221         7            1.4       10
         20160221       7.5            1.7       10
         20160221         8            1.9       10
         20160221       8.5            1.9       10
         20160221         9              2       10
         20160221       9.5            1.9       10
         20160222       0.1            0.3       10
         20160222       0.5            0.6       10
         20160222         1            1.2       10
         20160222        10            1.9       10
         20160222      10.5            1.9       10
         20160222        11              2       10
         20160222      11.5              2       10
         20160222         2            1.4       10
         20160222         3            1.4       10
         20160222         4            1.3       10
         20160222         5            1.3       10
         20160222         6            1.2       10
         20160222       6.5            1.2       10
         20160222         7            1.6       10
         20160222       7.5            1.8       10
         20160222         8            1.9       10
         20160222       8.5            1.9       10
         20160222         9              2       10
         20160222       9.5              2       10
         20160223       0.1            0.2       10
         20160223       0.5            0.3       10
         20160223         1            1.2       10
         20160223       1.5            1.3       10
         20160223        10              2       10
         20160223      10.5              2       10
         20160223        11              2       10
         20160223      11.5            2.1       10
         20160223         2            1.4       10
         20160223       2.5            1.4       10
         20160223         3            1.4       10
         20160223       3.5            1.4       10
         20160223         4            1.3       10
         20160223       4.5            1.2       10
         20160223         5            1.2       10
         20160223       5.5            1.2       10
         20160223         6            1.2       10
         20160223       6.5            1.3       10
         20160223         7            1.7       10
         20160223       7.5            1.9       10
         20160223         8            1.9       10
         20160223       8.5            1.9       10
         20160223         9              2       10
         20160223       9.5              2       10
         20160224       0.1            0.3       10
         20160224       0.5            0.3       10
         20160224         1            1.2       10
         20160224       1.5            1.3       10
         20160224        10              2       10
         20160224      10.5              2       10
         20160224        11              2       10
         20160224      11.5            2.1       10
         20160224         2            1.4       10
         20160224       2.5            1.4       10
         20160224         3            1.4       10
         20160224       3.5            1.3       10
         20160224         4            1.3       10
         20160224       4.5            1.3       10
         20160224         5            1.3       10
         20160224       5.5            1.3       10
         20160224         6            1.2       10
         20160224       6.5            1.3       10
         20160224         7            1.7       10
         20160224       7.5            1.9       10
         20160224         8            1.9       10
         20160224       8.5            1.9       10
         20160224         9              2       10
         20160224       9.5              2       10
         20160226       0.1            0.3       10
         20160226       0.5            0.3       10
         20160226         1            1.2       10
         20160226       1.5            1.3       10
         20160226        10              2       10
         20160226      10.5            2.1       10
         20160226        11            2.2       10
         20160226      11.5            2.2       10
         20160226         2            1.4       10
         20160226       2.5            1.4       10
         20160226         3            1.4       10
         20160226       3.5            1.3       10
         20160226         4            1.3       10
         20160226       4.5            1.3       10
         20160226         5            1.2       10
         20160226       5.5            1.2       10
         20160226         6            1.3       10
         20160226       6.5            1.3       10
         20160226         7            1.7       10
         20160226       7.5              2       10
         20160226         8            1.9       10
         20160226       8.5            1.9       10
         20160226         9            1.9       10
         20160226       9.5            1.9       10
         20160227       0.1            0.1       10
         20160227       0.5            0.3       10
         20160227         1            0.9       10
         20160227       1.5            1.3       10
         20160227        10              2       10
         20160227      10.5            2.1       10
         20160227        11            2.2       10
         20160227      11.5            2.2       10
         20160227         2            1.4       10
         20160227       2.5            1.4       10
         20160227         3            1.4       10
         20160227       3.5            1.3       10
         20160227         4            1.3       10
         20160227       4.5            1.3       10
         20160227         5            1.3       10
         20160227       5.5            1.3       10
         20160227         6            1.3       10
         20160227       6.5            1.4       10
         20160227         7            1.7       10
         20160227       7.5            1.9       10
         20160227         8              2       10
         20160227       8.5              2       10
         20160227         9            2.1       10
         20160227       9.5            2.1       10
         20160228       0.1            0.4       10
         20160228       0.5            0.3       10
         20160228         1              1       10
         20160228       1.5            1.3       10
         20160228        10              2       10
         20160228      10.5            2.1       10
         20160228        11            2.2       10
         20160228      11.5            2.3       10
         20160228         2            1.4       10
         20160228       2.5            1.4       10
         20160228         3            1.4       10
         20160228       3.5            1.4       10
         20160228         4            1.3       10
         20160228       4.5            1.4       10
         20160228         5            1.3       10
         20160228       5.5            1.3       10
         20160228         6            1.3       10
         20160228       6.5            1.4       10
         20160228         7            1.8       10
         20160228       7.5              2       10
         20160228         8              2       10
         20160228       8.5              2       10
         20160228         9              2       10
         20160228       9.5              2       10
         20160229       0.1            0.5       10
         20160229       0.5            0.2       10
         20160229         1            0.8       10
         20160229       1.5            1.3       10
         20160229        10              2       10
         20160229      10.5            2.1       10
         20160229        11            2.2       10
         20160229      11.5            2.3       10
         20160229         2            1.4       10
         20160229       2.5            1.4       10
         20160229         3            1.4       10
         20160229       3.5            1.4       10
         20160229         4            1.4       10
         20160229       4.5            1.4       10
         20160229         5            1.3       10
         20160229       5.5            1.3       10
         20160229         6            1.3       10
         20160229       6.5            1.4       10
         20160229         7            1.9       10
         20160229       7.5              2       10
         20160229         8              2       10
         20160229       8.5              2       10
         20160229         9              2       10
         20160229       9.5              2       10
         20160301       0.1            0.4       10
         20160301       0.5            0.2       10
         20160301         1            1.2       10
         20160301       1.5            1.3       10
         20160301        10            2.1       10
         20160301      10.5            2.1       10
         20160301        11            2.2       10
         20160301      11.5            2.5       10
         20160301         2            1.4       10
         20160301       2.5            1.4       10
         20160301         3            1.4       10
         20160301       3.5            1.4       10
         20160301         4            1.4       10
         20160301       4.5            1.4       10
