Observation #: 5562
-----------------------------------------------------
Time(YYYYMMDD)    Depth(m)  Value(celsius)    Std(%)
20040518                0.5         11.5000      10.0
20040518                1.0         11.4000      10.0
20040518                2.0         11.4000      10.0
20040518                3.0         11.3000      10.0
20040518                4.0         11.2000      10.0
20040518                5.0         11.1000      10.0
20040518                6.0         11.0000      10.0
20040518                7.0         11.0000      10.0
20040518                8.0         10.5000      10.0
20040518                9.0          9.6000      10.0
20040518               10.0          9.3000      10.0
20040518               11.0          9.1000      10.0
20040518               12.0          8.9000      10.0
20040518               13.0          8.9000      10.0
20040518               14.0          8.8000      10.0
20040518               15.0          8.8000      10.0
20040518               16.0          8.7000      10.0
20040518               17.0          8.6000      10.0
20040518               18.0          8.5000      10.0
20040518               19.0          8.5000      10.0
20040518               20.0          8.5000      10.0
20040518               21.0          8.4000      10.0
20040518               22.0          8.4000      10.0
20040518               23.0          7.9000      10.0
20040518               24.0          7.6000      10.0
20040518               25.0          7.3000      10.0
20040518               26.0          6.8000      10.0
20040518               27.0          6.6000      10.0
20040518               28.0          6.5000      10.0
20040518               29.0          6.4000      10.0
20040518               30.0          6.4000      10.0
20040518               31.0          6.4000      10.0
20040518               32.0          6.4000      10.0
20040518               33.0          6.3000      10.0
20040518               34.0          6.3000      10.0
20040518               35.0          6.2000      10.0
20040518               36.0          6.2000      10.0
20040518               37.0          6.2000      10.0
20040518               38.0          6.1000      10.0
20040518               39.0          6.1000      10.0
20040518               40.0          6.0000      10.0
20040518               41.0          6.0000      10.0
20040518               42.0          6.0000      10.0
20040518               43.0          5.9000      10.0
20040518               44.0          5.8000      10.0
20040518               45.0          5.8000      10.0
20040518               46.0          5.8000      10.0
20040518               47.0          5.8000      10.0
20040518               48.0          5.8000      10.0
20040518               49.0          5.8000      10.0
20040518               50.0          5.8000      10.0
20040518               51.0          5.7000      10.0
20040518               52.0          5.7000      10.0
20040518               53.0          5.7000      10.0
20040518               54.0          5.7000      10.0
20040518               55.0          5.6000      10.0
20040518               56.0          5.6000      10.0
20040518               57.0          5.6000      10.0
20040518               58.0          5.6000      10.0
20040518               59.0          5.6000      10.0
20040518               60.0          5.6000      10.0
20040518               61.0          5.5000      10.0
20040518               62.0          5.5000      10.0
20040518               63.0          5.4000      10.0
20040518               64.0          5.4000      10.0
20040518               65.0          5.4000      10.0
20040518               66.0          5.4000      10.0
20040518               67.0          5.3000      10.0
20040518               67.5          5.3000      10.0
20040518               68.0          5.3000      10.0
20040625                0.5         16.6000      10.0
20040625                1.0         16.6000      10.0
20040625                2.0         16.6000      10.0
20040625                3.0         16.5000      10.0
20040625                4.0         16.5000      10.0
20040625                5.0         16.5000      10.0
20040625                6.0         16.5000      10.0
20040625                7.0         16.4000      10.0
20040625                8.0         16.4000      10.0
20040625                9.0         13.9000      10.0
20040625               10.0         12.5000      10.0
20040625               11.0         11.7000      10.0
20040625               12.0         10.7000      10.0
20040625               13.0          9.5000      10.0
20040625               14.0          9.3000      10.0
20040625               15.0          9.2000      10.0
20040625               16.0          9.1000      10.0
20040625               17.0          8.5000      10.0
20040625               18.0          7.8000      10.0
20040625               19.0          7.7000      10.0
20040625               20.0          7.2000      10.0
20040625               21.0          7.2000      10.0
20040625               22.0          6.8000      10.0
20040625               23.0          6.7000      10.0
20040625               24.0          6.7000      10.0
20040625               25.0          6.6000      10.0
20040625               26.0          6.5000      10.0
20040625               27.0          6.4000      10.0
20040625               28.0          6.4000      10.0
20040625               29.0          6.4000      10.0
20040625               30.0          6.4000      10.0
20040625               31.0          6.3000      10.0
20040625               32.0          6.3000      10.0
20040625               33.0          6.2000      10.0
20040625               34.0          6.2000      10.0
20040625               35.0          6.2000      10.0
20040625               36.0          6.2000      10.0
20040625               37.0          6.1000      10.0
20040625               38.0          6.2000      10.0
20040625               39.0          6.2000      10.0
20040625               40.0          6.2000      10.0
20040625               41.0          6.1000      10.0
20040625               42.0          6.2000      10.0
20040625               43.0          6.2000      10.0
20040625               44.0          6.1000      10.0
20040625               45.0          6.0000      10.0
20040625               47.0          6.0000      10.0
20040625               48.0          6.0000      10.0
20040625               49.0          5.9000      10.0
20040625               50.0          5.9000      10.0
20040625               51.0          5.9000      10.0
20040625               52.0          5.9000      10.0
20040625               53.0          5.8000      10.0
20040625               54.0          5.8000      10.0
20040625               55.0          5.7000      10.0
20040625               57.0          5.7000      10.0
20040625               58.0          5.6000      10.0
20040625               59.0          5.6000      10.0
20040625               60.0          5.6000      10.0
20040625               61.0          5.6000      10.0
20040625               62.0          5.6000      10.0
20040625               63.0          5.6000      10.0
20040625               64.0          5.6000      10.0
20040625               65.0          5.6000      10.0
20040625               66.0          5.5000      10.0
20040625               67.0          5.5000      10.0
20040723                0.5         23.5000      10.0
20040723                1.0         23.5000      10.0
20040723                2.0         23.4000      10.0
20040723                3.0         23.3000      10.0
20040723                4.0         23.3000      10.0
20040723                5.0         23.3000      10.0
20040723                6.0         23.1000      10.0
20040723                7.0         22.1000      10.0
20040723                8.0         20.4000      10.0
20040723                9.0         18.6000      10.0
20040723               10.0         16.8000      10.0
20040723               11.0         14.1000      10.0
20040723               12.0         12.6000      10.0
20040723               13.0         11.9000      10.0
20040723               14.0         10.7000      10.0
20040723               15.0          9.5000      10.0
20040723               16.0          9.1000      10.0
20040723               17.0          8.8000      10.0
20040723               18.0          8.4000      10.0
20040723               19.0          8.0000      10.0
20040723               20.0          7.8000      10.0
20040723               21.0          7.5000      10.0
20040723               22.0          7.0000      10.0
20040723               23.0          6.9000      10.0
20040723               24.0          6.8000      10.0
20040723               25.0          6.7000      10.0
20040723               26.0          6.7000      10.0
20040723               27.0          6.6000      10.0
20040723               28.0          6.5000      10.0
20040723               29.0          6.4000      10.0
20040723               30.0          6.4000      10.0
20040723               31.0          6.3000      10.0
20040723               32.0          6.3000      10.0
20040723               33.0          6.2000      10.0
20040723               34.0          6.1000      10.0
20040723               35.0          6.1000      10.0
20040723               36.0          6.0000      10.0
20040723               37.0          6.0000      10.0
20040723               38.0          6.0000      10.0
20040723               39.0          6.0000      10.0
20040723               40.0          5.9000      10.0
20040723               41.0          5.9000      10.0
20040723               42.0          5.9000      10.0
20040723               43.0          5.9000      10.0
20040723               44.0          5.9000      10.0
20040723               45.0          5.9000      10.0
20040723               46.0          5.9000      10.0
20040723               47.0          5.8000      10.0
20040723               48.0          5.8000      10.0
20040723               49.0          5.8000      10.0
20040723               50.0          5.8000      10.0
20040723               51.0          5.8000      10.0
20040723               52.0          5.7000      10.0
20040723               53.0          5.7000      10.0
20040723               54.0          5.7000      10.0
20040723               55.0          5.7000      10.0
20040723               56.0          5.7000      10.0
20040723               57.0          5.7000      10.0
20040723               58.0          5.7000      10.0
20040723               59.0          5.7000      10.0
20040723               60.0          5.7000      10.0
20040723               61.0          5.7000      10.0
20040723               62.0          5.7000      10.0
20040723               63.0          5.6000      10.0
20040723               64.0          5.6000      10.0
20040723               65.0          5.6000      10.0
20040723               66.0          5.6000      10.0
20040723               67.0          5.6000      10.0
20040817                0.5         20.7000      10.0
20040817                1.0         20.7000      10.0
20040817                2.0         20.6000      10.0
20040817                3.0         20.5000      10.0
20040817                4.0         20.4000      10.0
20040817                5.0         20.3000      10.0
20040817                6.0         20.3000      10.0
20040817                7.0         20.2000      10.0
20040817                8.0         20.2000      10.0
20040817                9.0         19.6000      10.0
20040817               10.0         19.4000      10.0
20040817               11.0         18.3000      10.0
20040817               12.0         16.4000      10.0
20040817               13.0         12.8000      10.0
20040817               14.0         11.2000      10.0
20040817               15.0         10.7000      10.0
20040817               16.0          9.8000      10.0
20040817               17.0          9.2000      10.0
20040817               18.0          8.4000      10.0
20040817               19.0          8.1000      10.0
20040817               20.0          7.8000      10.0
20040817               21.0          7.6000      10.0
20040817               22.0          7.4000      10.0
20040817               23.0          7.2000      10.0
20040817               24.0          7.1000      10.0
20040817               25.0          7.0000      10.0
20040817               26.0          6.9000      10.0
20040817               27.0          6.8000      10.0
20040817               28.0          6.7000      10.0
20040817               29.0          6.6000      10.0
20040817               30.0          6.5000      10.0
20040817               31.0          6.5000      10.0
20040817               32.0          6.4000      10.0
20040817               33.0          6.4000      10.0
20040817               34.0          6.3000      10.0
20040817               35.0          6.3000      10.0
20040817               36.0          6.2000      10.0
20040817               37.0          6.2000      10.0
20040817               38.0          6.2000      10.0
20040817               39.0          6.2000      10.0
20040817               40.0          6.1000      10.0
20040817               41.0          6.1000      10.0
20040817               42.0          6.0000      10.0
20040817               43.0          6.0000      10.0
20040817               44.0          6.0000      10.0
20040817               45.0          6.0000      10.0
20040817               46.0          5.9000      10.0
20040817               47.0          5.9000      10.0
20040817               48.0          5.9000      10.0
20040817               49.0          5.8000      10.0
20040817               50.0          5.8000      10.0
20040817               51.0          5.8000      10.0
20040817               52.0          5.8000      10.0
20040817               53.0          5.8000      10.0
20040817               54.0          5.8000      10.0
20040817               55.0          5.8000      10.0
20040817               56.0          5.8000      10.0
20040817               57.0          5.8000      10.0
20040817               58.0          5.7000      10.0
20040817               59.0          5.7000      10.0
20040817               60.0          5.7000      10.0
20040817               61.0          5.7000      10.0
20040817               62.0          5.7000      10.0
20040817               63.0          5.6000      10.0
20040817               64.0          5.6000      10.0
20040817               65.0          5.6000      10.0
20040817               66.0          5.6000      10.0
20040817               67.0          5.5000      10.0
20040916                0.5         20.5000      10.0
20040916                1.0         20.5000      10.0
20040916                2.0         20.5000      10.0
20040916                3.0         20.5000      10.0
20040916                4.0         20.4000      10.0
20040916                5.0         20.3000      10.0
20040916                6.0         20.2000      10.0
20040916                7.0         20.2000      10.0
20040916                8.0         20.2000      10.0
20040916                9.0         20.0000      10.0
20040916               10.0         19.9000      10.0
20040916               11.0         18.7000      10.0
20040916               12.0         17.6000      10.0
20040916               13.0         14.8000      10.0
20040916               14.0         12.5000      10.0
20040916               15.0         11.5000      10.0
20040916               16.0         10.4000      10.0
20040916               17.0          9.7000      10.0
20040916               18.0          9.0000      10.0
20040916               19.0          8.6000      10.0
20040916               20.0          8.2000      10.0
20040916               21.0          8.0000      10.0
20040916               22.0          7.8000      10.0
20040916               23.0          7.4000      10.0
20040916               24.0          6.9000      10.0
20040916               25.0          6.8000      10.0
20040916               26.0          6.8000      10.0
20040916               27.0          6.6000      10.0
20040916               28.0          6.6000      10.0
20040916               29.0          6.6000      10.0
20040916               30.0          6.6000      10.0
20040916               31.0          6.5000      10.0
20040916               32.0          6.5000      10.0
20040916               33.0          6.5000      10.0
20040916               34.0          6.5000      10.0
20040916               35.0          6.4000      10.0
20040916               36.0          6.3000      10.0
20040916               37.0          6.3000      10.0
20040916               38.0          6.2000      10.0
20040916               39.0          6.2000      10.0
20040916               40.0          6.1000      10.0
20040916               41.0          6.1000      10.0
20040916               42.0          6.0000      10.0
20040916               43.0          6.0000      10.0
20040916               44.0          5.9000      10.0
20040916               45.0          5.9000      10.0
20040916               46.0          5.8000      10.0
20040916               47.0          5.8000      10.0
20040916               48.0          5.8000      10.0
20040916               49.0          5.8000      10.0
20040916               50.0          5.8000      10.0
20040916               51.0          5.8000      10.0
20040916               52.0          5.8000      10.0
20040916               53.0          5.8000      10.0
20040916               54.0          5.8000      10.0
20040916               55.0          5.8000      10.0
20040916               56.0          5.8000      10.0
20040916               57.0          5.8000      10.0
20040916               58.0          5.8000      10.0
20040916               59.0          5.8000      10.0
20040916               60.0          5.8000      10.0
20040916               61.0          5.7000      10.0
20040916               62.0          5.7000      10.0
20040916               63.0          5.7000      10.0
20040916               64.0          5.7000      10.0
20040916               65.0          5.7000      10.0
20040916               66.0          5.6000      10.0
20040916               67.0          5.6000      10.0
20050301                5.0          1.4000      10.0
20050301               10.0          1.4000      10.0
20050301               15.0          1.5000      10.0
20050301               20.0          1.7000      10.0
20050301               25.0          1.8000      10.0
20050301               30.0          1.9000      10.0
20050301               35.0          2.0000      10.0
20050503                0.5          5.1000      10.0
20050503                1.0          5.1000      10.0
20050503                2.0          5.1000      10.0
20050503                3.0          5.1000      10.0
20050503                4.0          5.1000      10.0
20050503                5.0          5.1000      10.0
20050503                6.0          5.1000      10.0
20050503                7.0          5.1000      10.0
20050503                8.0          5.1000      10.0
20050503                9.0          5.1000      10.0
20050503               10.0          5.1000      10.0
20050503               11.0          5.1000      10.0
20050503               12.0          5.1000      10.0
20050503               13.0          5.1000      10.0
20050503               14.0          5.1000      10.0
20050503               15.0          5.1000      10.0
20050503               16.0          5.1000      10.0
20050503               17.0          5.0000      10.0
20050503               18.0          5.1000      10.0
20050503               19.0          5.1000      10.0
20050503               20.0          5.0000      10.0
20050503               21.0          5.0000      10.0
20050503               22.0          4.9000      10.0
20050503               23.0          4.9000      10.0
20050503               24.0          4.9000      10.0
20050503               25.0          4.9000      10.0
20050503               26.0          4.9000      10.0
20050503               27.0          4.9000      10.0
20050503               28.0          4.9000      10.0
20050503               29.0          4.9000      10.0
20050503               30.0          4.9000      10.0
20050503               31.0          4.9000      10.0
20050503               32.0          4.9000      10.0
20050503               33.0          4.9000      10.0
20050503               34.0          4.9000      10.0
20050503               35.0          4.9000      10.0
20050503               36.0          4.9000      10.0
20050503               37.0          4.9000      10.0
20050503               38.0          4.8000      10.0
20050503               39.0          4.8000      10.0
20050503               40.0          4.8000      10.0
20050503               41.0          4.8000      10.0
20050503               42.0          4.8000      10.0
20050503               43.0          4.8000      10.0
20050503               44.0          4.8000      10.0
20050503               45.0          4.8000      10.0
20050503               46.0          4.8000      10.0
20050503               47.0          4.8000      10.0
20050503               48.0          4.8000      10.0
20050503               49.0          4.8000      10.0
20050503               50.0          4.8000      10.0
20050503               51.0          4.8000      10.0
20050503               52.0          4.8000      10.0
20050503               53.0          4.7000      10.0
20050503               54.0          4.7000      10.0
20050503               55.0          4.7000      10.0
20050503               56.0          4.7000      10.0
20050503               57.0          4.7000      10.0
20050503               58.0          4.7000      10.0
20050503               59.0          4.7000      10.0
20050503               60.0          4.7000      10.0
20050503               61.0          4.7000      10.0
20050503               62.0          4.7000      10.0
20050503               63.0          4.6000      10.0
20050503               64.0          4.6000      10.0
20050503               65.0          4.6000      10.0
20050503               66.0          4.6000      10.0
20050503               67.0          4.6000      10.0
20050503               68.0          4.6000      10.0
20050620                0.5         23.6000      10.0
20050620                1.0         23.4000      10.0
20050620                2.0         23.3000      10.0
20050620                3.0         23.5000      10.0
20050620                4.0         21.0000      10.0
20050620                5.0         20.1000      10.0
20050620                6.0         17.8000      10.0
20050620                7.0         16.7000      10.0
20050620                8.0         13.9000      10.0
20050620                9.0         13.3000      10.0
20050620               10.0         12.8000      10.0
20050620               11.0         12.2000      10.0
20050620               12.0         11.2000      10.0
20050620               13.0         10.5000      10.0
20050620               14.0          9.5000      10.0
20050620               15.0          8.9000      10.0
20050620               16.0          8.4000      10.0
20050620               17.0          8.1000      10.0
20050620               18.0          7.6000      10.0
20050620               19.0          7.0000      10.0
20050620               20.0          6.9000      10.0
20050620               21.0          6.6000      10.0
20050620               22.0          6.5000      10.0
20050620               23.0          6.3000      10.0
20050620               24.0          6.2000      10.0
20050620               25.0          6.1000      10.0
20050620               26.0          6.1000      10.0
20050620               27.0          6.0000      10.0
20050620               28.0          5.9000      10.0
20050620               29.0          5.9000      10.0
20050620               30.0          5.8000      10.0
20050620               31.0          5.8000      10.0
20050620               32.0          5.7000      10.0
20050620               33.0          5.7000      10.0
20050620               34.0          5.6000      10.0
20050620               35.0          5.5000      10.0
20050620               36.0          5.5000      10.0
20050620               37.0          5.5000      10.0
20050620               38.0          5.4000      10.0
20050620               39.0          5.4000      10.0
20050620               40.0          5.3000      10.0
20050620               41.0          5.3000      10.0
20050620               42.0          5.2000      10.0
20050620               43.0          5.2000      10.0
20050620               44.0          5.2000      10.0
20050620               45.0          5.2000      10.0
20050620               46.0          5.2000      10.0
20050620               47.0          5.2000      10.0
20050620               48.0          5.2000      10.0
20050620               49.0          5.1000      10.0
20050620               50.0          5.1000      10.0
20050620               51.0          5.1000      10.0
20050620               52.0          5.1000      10.0
20050620               53.0          5.1000      10.0
20050620               54.0          5.1000      10.0
20050620               55.0          5.1000      10.0
20050620               56.0          5.0000      10.0
20050620               57.0          5.0000      10.0
20050620               58.0          5.0000      10.0
20050620               59.0          5.0000      10.0
20050620               60.0          5.0000      10.0
20050620               61.0          5.0000      10.0
20050620               62.0          5.0000      10.0
20050620               63.0          5.0000      10.0
20050620               64.0          5.0000      10.0
20050620               65.0          5.0000      10.0
20050620               66.0          5.0000      10.0
20050620               67.0          4.9000      10.0
20050719                0.5         25.8000      10.0
20050719                1.0         25.5000      10.0
20050719                2.0         25.4000      10.0
20050719                3.0         25.0000      10.0
20050719                4.0         24.8000      10.0
20050719                5.0         24.5000      10.0
20050719                6.0         23.8000      10.0
20050719                7.0         22.7000      10.0
20050719                8.0         20.2000      10.0
20050719                9.0         15.7000      10.0
20050719               10.0         13.1000      10.0
20050719               11.0         11.1000      10.0
20050719               12.0          9.6000      10.0
20050719               13.0          8.9000      10.0
20050719               14.0          8.0000      10.0
20050719               15.0          7.7000      10.0
20050719               16.0          7.3000      10.0
20050719               17.0          7.0000      10.0
20050719               18.0          6.9000      10.0
20050719               19.0          6.8000      10.0
20050719               20.0          6.5000      10.0
20050719               21.0          6.4000      10.0
20050719               22.0          6.3000      10.0
20050719               23.0          6.1000      10.0
20050719               24.0          6.0000      10.0
20050719               25.0          5.9000      10.0
20050719               26.0          5.8000      10.0
20050719               27.0          5.8000      10.0
20050719               28.0          5.7000      10.0
20050719               29.0          5.6000      10.0
20050719               30.0          5.6000      10.0
20050719               31.0          5.5000      10.0
20050719               32.0          5.5000      10.0
20050719               33.0          5.5000      10.0
20050719               34.0          5.4000      10.0
20050719               35.0          5.4000      10.0
20050719               36.0          5.4000      10.0
20050719               37.0          5.5000      10.0
20050719               38.0          5.5000      10.0
20050719               39.0          5.4000      10.0
20050719               40.0          5.4000      10.0
20050719               41.0          5.4000      10.0
20050719               42.0          5.3000      10.0
20050719               43.0          5.3000      10.0
20050719               44.0          5.3000      10.0
20050719               45.0          5.3000      10.0
20050719               46.0          5.2000      10.0
20050719               47.0          5.2000      10.0
20050719               48.0          5.2000      10.0
20050719               49.0          5.2000      10.0
20050719               50.0          5.2000      10.0
20050719               51.0          5.2000      10.0
20050719               52.0          5.1000      10.0
20050719               53.0          5.1000      10.0
20050719               54.0          5.1000      10.0
20050719               55.0          5.1000      10.0
20050719               56.0          5.1000      10.0
20050719               57.0          5.1000      10.0
20050719               58.0          5.1000      10.0
20050719               59.0          5.1000      10.0
20050719               60.0          5.1000      10.0
20050719               61.0          5.1000      10.0
20050719               62.0          5.1000      10.0
20050719               63.0          5.1000      10.0
20050719               64.0          5.1000      10.0
20050719               65.0          5.1000      10.0
20050719               66.0          5.1000      10.0
20050719               67.0          5.0000      10.0
20050719               67.5          5.0000      10.0
20050817                0.5         25.4000      10.0
20050817                1.0         25.2000      10.0
20050817                2.0         25.1000      10.0
20050817                3.0         25.0000      10.0
20050817                4.0         25.0000      10.0
20050817                5.0         25.0000      10.0
20050817                6.0         24.9000      10.0
20050817                7.0         24.6000      10.0
20050817                8.0         24.4000      10.0
20050817                9.0         24.1000      10.0
20050817               10.0         18.4000      10.0
20050817               11.0         14.6000      10.0
20050817               12.0         13.3000      10.0
20050817               13.0         11.6000      10.0
20050817               14.0         10.4000      10.0
20050817               15.0          9.7000      10.0
20050817               16.0          9.0000      10.0
20050817               17.0          8.5000      10.0
20050817               18.0          7.9000      10.0
20050817               19.0          7.7000      10.0
20050817               20.0          7.4000      10.0
20050817               21.0          6.9000      10.0
20050817               22.0          6.7000      10.0
20050817               23.0          6.5000      10.0
20050817               24.0          6.4000      10.0
20050817               25.0          6.3000      10.0
20050817               26.0          6.2000      10.0
20050817               27.0          6.2000      10.0
20050817               28.0          6.1000      10.0
20050817               29.0          6.0000      10.0
20050817               30.0          5.9000      10.0
20050817               31.0          5.9000      10.0
20050817               32.0          5.8000      10.0
20050817               33.0          5.8000      10.0
20050817               34.0          5.7000      10.0
20050817               35.0          5.7000      10.0
20050817               36.0          5.6000      10.0
20050817               37.0          5.6000      10.0
20050817               38.0          5.5000      10.0
20050817               39.0          5.5000      10.0
20050817               40.0          5.4000      10.0
20050817               41.0          5.4000      10.0
20050817               42.0          5.4000      10.0
20050817               43.0          5.4000      10.0
20050817               44.0          5.4000      10.0
20050817               45.0          5.3000      10.0
20050817               46.0          5.3000      10.0
20050817               47.0          5.3000      10.0
20050817               48.0          5.2000      10.0
20050817               49.0          5.2000      10.0
20050817               50.0          5.2000      10.0
20050817               51.0          5.2000      10.0
20050817               52.0          5.2000      10.0
20050817               53.0          5.2000      10.0
20050817               54.0          5.2000      10.0
20050817               55.0          5.2000      10.0
20050817               56.0          5.2000      10.0
20050817               57.0          5.2000      10.0
20050817               58.0          5.2000      10.0
20050817               59.0          5.2000      10.0
20050817               60.0          5.2000      10.0
20050817               61.0          5.2000      10.0
20050817               62.0          5.1000      10.0
20050817               63.0          5.1000      10.0
20050817               64.0          5.1000      10.0
20050817               65.0          5.1000      10.0
20050817               66.0          5.1000      10.0
20050817               67.0          5.1000      10.0
20050817               68.0          5.0000      10.0
20050923                0.5         21.0000      10.0
20050923                1.0         21.0000      10.0
20050923                2.0         21.0000      10.0
20050923                3.0         21.0000      10.0
20050923                4.0         21.0000      10.0
20050923                5.0         21.0000      10.0
20050923                6.0         21.0000      10.0
20050923                7.0         21.0000      10.0
20050923                8.0         21.0000      10.0
20050923                9.0         21.0000      10.0
20050923               10.0         21.0000      10.0
20050923               11.0         21.0000      10.0
20050923               12.0         21.0000      10.0
20050923               13.0         15.4000      10.0
20050923               14.0         11.5000      10.0
20050923               15.0         10.2000      10.0
20050923               16.0          9.4000      10.0
20050923               17.0          8.8000      10.0
20050923               18.0          8.3000      10.0
20050923               19.0          7.7000      10.0
20050923               20.0          7.5000      10.0
20050923               21.0          7.2000      10.0
20050923               22.0          7.0000      10.0
20050923               23.0          6.6000      10.0
20050923               24.0          6.5000      10.0
20050923               25.0          6.4000      10.0
20050923               26.0          6.3000      10.0
20050923               27.0          6.2000      10.0
20050923               28.0          6.1000      10.0
20050923               29.0          6.0000      10.0
20050923               30.0          5.9000      10.0
20050923               31.0          5.9000      10.0
20050923               32.0          5.8000      10.0
20050923               33.0          5.8000      10.0
20050923               34.0          5.7000      10.0
20050923               35.0          5.6000      10.0
20050923               36.0          5.5000      10.0
20050923               37.0          5.5000      10.0
20050923               38.0          5.4000      10.0
20050923               39.0          5.4000      10.0
20050923               40.0          5.4000      10.0
20050923               41.0          5.4000      10.0
20050923               42.0          5.3000      10.0
20050923               43.0          5.3000      10.0
20050923               44.0          5.3000      10.0
20050923               45.0          5.3000      10.0
20050923               46.0          5.2000      10.0
20050923               47.0          5.2000      10.0
20050923               48.0          5.3000      10.0
20050923               49.0          5.2000      10.0
20050923               50.0          5.2000      10.0
20050923               51.0          5.2000      10.0
20050923               52.0          5.2000      10.0
20050923               53.0          5.2000      10.0
20050923               54.0          5.2000      10.0
20050923               55.0          5.2000      10.0
20050923               56.0          5.2000      10.0
20050923               57.0          5.1000      10.0
20050923               58.0          5.1000      10.0
20050923               59.0          5.1000      10.0
20050923               60.0          5.1000      10.0
20050923               61.0          5.1000      10.0
20050923               62.0          5.1000      10.0
20050923               63.0          5.1000      10.0
20050923               64.0          5.1000      10.0
20050923               65.0          5.0000      10.0
20050923               66.0          5.0000      10.0
20050923               67.0          5.0000      10.0
20060503                0.5          8.2000      10.0
20060503                1.0          8.2000      10.0
20060503                2.0          8.2000      10.0
20060503                3.0          8.1000      10.0
20060503                4.0          8.0000      10.0
20060503                5.0          6.4000      10.0
20060503                6.0          5.5000      10.0
20060503                7.0          5.4000      10.0
20060503                8.0          5.4000      10.0
20060503                9.0          5.3000      10.0
20060503               10.0          5.3000      10.0
20060503               11.0          5.3000      10.0
20060503               12.0          5.3000      10.0
20060503               13.0          5.2000      10.0
20060503               14.0          5.2000      10.0
20060503               15.0          5.2000      10.0
20060503               16.0          5.2000      10.0
20060503               17.0          5.2000      10.0
20060503               18.0          5.1000      10.0
20060503               19.0          5.1000      10.0
20060503               20.0          5.1000      10.0
20060503               21.0          5.1000      10.0
20060503               22.0          5.1000      10.0
20060503               23.0          5.1000      10.0
20060503               24.0          5.1000      10.0
20060503               25.0          5.0000      10.0
20060503               26.0          5.0000      10.0
20060503               27.0          5.0000      10.0
20060503               28.0          5.0000      10.0
20060503               29.0          5.0000      10.0
20060503               30.0          5.0000      10.0
20060503               31.0          4.9000      10.0
20060503               32.0          4.9000      10.0
20060503               33.0          4.9000      10.0
20060503               34.0          4.9000      10.0
20060503               35.0          4.9000      10.0
20060503               36.0          4.9000      10.0
20060503               37.0          4.9000      10.0
20060503               38.0          4.9000      10.0
20060503               39.0          4.9000      10.0
20060503               40.0          4.9000      10.0
20060503               41.0          4.9000      10.0
20060503               42.0          4.9000      10.0
20060503               43.0          4.9000      10.0
20060503               44.0          4.9000      10.0
20060503               45.0          4.8000      10.0
20060503               46.0          4.8000      10.0
20060503               47.0          4.8000      10.0
20060503               48.0          4.8000      10.0
20060503               49.0          4.8000      10.0
20060503               50.0          4.7000      10.0
20060503               51.0          4.6000      10.0
20060503               52.0          4.5000      10.0
20060503               53.0          4.4000      10.0
20060503               54.0          4.4000      10.0
20060503               55.0          4.4000      10.0
20060503               56.0          4.4000      10.0
20060503               57.0          4.4000      10.0
20060503               58.0          4.4000      10.0
20060503               59.0          4.4000      10.0
20060503               60.0          4.4000      10.0
20060503               61.0          4.4000      10.0
20060503               62.0          4.4000      10.0
20060503               63.0          4.4000      10.0
20060503               64.0          4.4000      10.0
20060503               65.0          4.3000      10.0
20060503               66.0          4.3000      10.0
20060503               67.0          4.3000      10.0
20060503               68.0          4.3000      10.0
20060612                0.5         19.8000      10.0
20060612                1.0         19.8000      10.0
20060612                2.0         19.7000      10.0
20060612                3.0         19.5000      10.0
20060612                4.0         19.5000      10.0
20060612                5.0         19.5000      10.0
20060612                6.0         19.4000      10.0
20060612                7.0         15.2000      10.0
20060612                8.0         12.3000      10.0
20060612                9.0         11.0000      10.0
20060612               10.0         10.2000      10.0
20060612               11.0          9.7000      10.0
20060612               12.0          9.4000      10.0
20060612               13.0          8.9000      10.0
20060612               14.0          8.5000      10.0
20060612               15.0          8.2000      10.0
20060612               16.0          8.0000      10.0
20060612               17.0          7.8000      10.0
20060612               18.0          7.6000      10.0
20060612               19.0          7.5000      10.0
20060612               20.0          7.1000      10.0
20060612               21.0          6.9000      10.0
20060612               22.0          6.7000      10.0
20060612               23.0          6.6000      10.0
20060612               24.0          6.4000      10.0
20060612               25.0          6.2000      10.0
20060612               26.0          6.1000      10.0
20060612               27.0          6.0000      10.0
20060612               28.0          6.0000      10.0
20060612               29.0          5.9000      10.0
20060612               30.0          5.8000      10.0
20060612               31.0          5.7000      10.0
20060612               32.0          5.7000      10.0
20060612               33.0          5.7000      10.0
20060612               34.0          5.6000      10.0
20060612               35.0          5.5000      10.0
20060612               36.0          5.5000      10.0
20060612               37.0          5.4000      10.0
20060612               38.0          5.3000      10.0
20060612               39.0          5.3000      10.0
20060612               40.0          5.2000      10.0
20060612               41.0          5.2000      10.0
20060612               42.0          5.1000      10.0
20060612               43.0          5.0000      10.0
20060612               44.0          5.0000      10.0
20060612               45.0          5.0000      10.0
20060612               46.0          4.9000      10.0
20060612               47.0          4.9000      10.0
20060612               48.0          4.9000      10.0
20060612               49.0          4.8000      10.0
20060612               50.0          4.8000      10.0
20060612               51.0          4.8000      10.0
20060612               52.0          4.8000      10.0
20060612               53.0          4.8000      10.0
20060612               54.0          4.7000      10.0
20060612               55.0          4.6000      10.0
20060612               56.0          4.6000      10.0
20060612               57.0          4.6000      10.0
20060612               58.0          4.6000      10.0
